ID,Date,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1,11-Jan,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,87.7,E,,,1
2,11-Feb,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,87.7,E,,,1
3,11-Mar,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,87.7,E,,,1
4,11-Apr,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,87.7,E,,,1
5,11-May,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,88.2,E,,,1
6,11-Jun,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,88.4,E,,,1
7,11-Jul,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,88.6,E,,,1
8,11-Aug,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,88.9,E,,,1
9,11-Sep,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,89.2,E,,,1
10,11-Oct,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,89.4,E,,,1
11,11-Nov,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,90.1,E,,,1
12,11-Dec,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,90.4,E,,,1
13,12-Jan,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,90.6,E,,,1
14,12-Feb,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,90.6,E,,,1
15,12-Mar,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,90.9,E,,,1
16,12-Apr,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,90.9,E,,,1
17,12-May,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,91.3,E,,,1
18,12-Jun,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,91.6,E,,,1
19,12-Jul,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,91.6,E,,,1
20,12-Aug,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,91.9,E,,,1
21,12-Sep,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,92.1,E,,,1
22,12-Oct,"Toronto, Ontario",2011S0503535,Land only,"Index, 201612=100",347,units,0,v111955501,20.3,92.1,E,,,1
