ID,Date,Prime_rate,mortgare_1y,mortgare_3y,mortgare_5y,Date
1,11-Jan,3,3.35,4.15,5.19,11-Jan
2,11-Feb,3,3.35,4.15,5.19,11-Feb
3,11-Mar,3,3.5,4.35,5.44,11-Mar
4,11-Apr,3,3.7,4.55,5.69,11-Apr
5,11-May,3,3.7,4.55,5.69,11-May
6,11-Jun,3,3.6,4.45,5.49,11-Jun
7,11-Jul,3,3.6,4.45,5.54,11-Jul
8,11-Aug,3,3.5,4.35,5.39,11-Aug
9,11-Sep,3,3.5,4.35,5.39,11-Sep
10,11-Oct,3,3.5,4.35,5.19,11-Oct
11,11-Nov,3,3.5,4.05,5.29,11-Nov
12,11-Dec,3,3.5,4.05,5.29,11-Dec
13,12-Jan,3,3.5,4.05,5.29,12-Jan
14,12-Feb,3,3.5,3.95,5.14,12-Feb
15,12-Mar,3,3.2,3.95,5.24,12-Mar
16,12-Apr,3,3.2,3.95,5.44,12-Apr
17,12-May,3,3.2,3.95,5.44,12-May
18,12-Jun,3,3.2,3.95,5.24,12-Jun
19,12-Jul,3,3.2,3.95,5.24,12-Jul
20,12-Aug,3,3.1,3.95,5.24,12-Aug
21,12-Sep,3,3.1,4.05,5.24,12-Sep
22,12-Oct,3,3.1,3.85,5.24,12-Oct
23,12-Nov,3,3.1,3.7,5.24,12-Nov
24,12-Dec,3,3.1,3.7,5.24,12-Dec
25,13-Jan,3,3,3.7,5.24,13-Jan
26,13-Feb,3,3,3.65,5.24,13-Feb
27,13-Mar,3,3,3.65,5.24,13-Mar
28,13-Apr,3,3,3.55,5.14,13-Apr
29,13-May,3,3,3.55,5.14,13-May
30,13-Jun,3,3,3.55,5.14,13-Jun
31,13-Jul,3,3.14,3.75,5.14,13-Jul
32,13-Aug,3,3.14,3.75,5.14,13-Aug
33,13-Sep,3,3.14,3.95,5.34,13-Sep
34,13-Oct,3,3.14,3.95,5.34,13-Oct
35,13-Nov,3,3.14,3.95,5.34,13-Nov
36,13-Dec,3,3.14,3.95,5.34,13-Dec
37,14-Jan,3,3.14,3.95,5.34,14-Jan
38,14-Feb,3,3.14,3.75,5.24,14-Feb
39,14-Mar,3,3.14,3.75,4.99,14-Mar
40,14-Apr,3,3.14,3.75,4.99,14-Apr
41,14-May,3,3.14,3.75,4.79,14-May
42,14-Jun,3,3.14,3.75,4.79,14-Jun
43,14-Jul,3,3.14,3.75,4.79,14-Jul
44,14-Aug,3,3.14,3.75,4.79,14-Aug
45,14-Sep,3,3.14,3.75,4.79,14-Sep
46,14-Oct,3,3.14,3.75,4.79,14-Oct
47,14-Nov,3,3.14,3.44,4.79,14-Nov
48,14-Dec,3,3.14,3.44,4.79,14-Dec
49,15-Jan,3,3.14,3.44,4.79,15-Jan
50,15-Feb,2.85,3.14,3.8,4.79,15-Feb
51,15-Mar,2.85,2.89,3.39,4.74,15-Mar
52,15-Apr,2.85,2.89,3.39,4.74,15-Apr
53,15-May,2.85,2.89,3.39,4.64,15-May
54,15-Jun,2.85,2.89,3.39,4.64,15-Jun
55,15-Jul,2.85,2.89,3.39,4.64,15-Jul
56,15-Aug,2.7,2.89,3.39,4.64,15-Aug
57,15-Sep,2.7,2.89,3.39,4.64,15-Sep
58,15-Oct,2.7,2.89,3.39,4.64,15-Oct
59,15-Nov,2.7,3.14,3.39,4.64,15-Nov
60,15-Dec,2.7,3.14,3.39,4.64,15-Dec
61,16-Jan,2.7,3.14,3.39,4.64,16-Jan
62,16-Feb,2.7,3.14,3.39,4.64,16-Feb
63,16-Mar,2.7,3.14,3.39,4.64,16-Mar
64,16-Apr,2.7,3.14,3.39,4.64,16-Apr
65,16-May,2.7,3.14,3.39,4.64,16-May
66,16-Jun,2.7,3.14,3.39,4.64,16-Jun
67,16-Jul,2.7,3.14,3.39,4.74,16-Jul
68,16-Aug,2.7,3.14,3.39,4.74,16-Aug
69,16-Sep,2.7,3.14,3.39,4.64,16-Sep
70,16-Oct,2.7,3.14,3.39,4.64,16-Oct
71,16-Nov,2.7,3.14,3.39,4.64,16-Nov
72,16-Dec,2.7,3.14,3.39,4.64,16-Dec
73,17-Jan,2.7,3.14,3.39,4.64,17-Jan
74,17-Feb,2.7,3.14,3.39,4.64,17-Feb
75,17-Mar,2.7,3.14,3.39,4.64,17-Mar
76,17-Apr,2.7,3.14,3.39,4.64,17-Apr
77,17-May,2.7,3.14,3.39,4.64,17-May
78,17-Jun,2.7,3.14,3.39,4.64,17-Jun
79,17-Jul,2.7,3.14,3.39,4.64,17-Jul
80,17-Aug,2.95,3.14,3.39,4.84,17-Aug
81,17-Sep,2.95,3.14,3.39,4.84,17-Sep
82,17-Oct,3.2,3.24,3.59,4.89,17-Oct
83,17-Nov,3.2,3.24,3.74,4.99,17-Nov
84,17-Dec,3.2,3.24,3.74,4.99,17-Dec
85,18-Jan,3.2,3.24,3.74,4.99,18-Jan
86,18-Feb,3.45,3.34,4.15,5.14,18-Feb
87,18-Mar,3.45,3.34,4.15,5.14,18-Mar
88,18-Apr,3.45,3.34,4.15,5.14,18-Apr
89,18-May,3.45,3.49,4.3,5.14,18-May
90,18-Jun,3.45,3.49,4.3,5.34,18-Jun
91,18-Jul,3.45,3.49,4.3,5.34,18-Jul
92,18-Aug,3.7,3.49,4.3,5.34,18-Aug
93,18-Sep,3.7,3.49,4.3,5.34,18-Sep
94,18-Oct,3.7,3.49,4.3,5.34,18-Oct
95,18-Nov,3.95,3.64,4.29,5.34,18-Nov
96,18-Dec,3.95,3.64,4.29,5.34,18-Dec
97,19-Jan,3.95,3.64,4.29,5.34,19-Jan
98,19-Feb,3.95,3.64,4.29,5.34,19-Feb
99,19-Mar,3.95,3.64,4.29,5.34,19-Mar
100,19-Apr,3.95,3.64,4.29,5.34,19-Apr
101,19-May,3.95,3.64,4.29,5.34,19-May
102,19-Jun,3.95,3.64,4.29,5.34,19-Jun
103,19-Jul,3.95,3.64,4.29,5.34,19-Jul
104,19-Aug,3.95,3.64,4.29,5.19,19-Aug
105,19-Sep,3.95,3.64,3.94,5.19,19-Sep
106,19-Oct,3.95,3.64,3.94,5.19,19-Oct
107,19-Nov,3.95,3.64,3.94,5.19,19-Nov
108,19-Dec,3.95,3.64,3.94,5.19,19-Dec
109,20-Jan,3.95,3.64,3.94,5.19,20-Jan
110,20-Feb,3.95,3.64,3.94,5.19,20-Feb
111,20-Mar,3.95,3.64,3.94,5.19,20-Mar
112,20-Apr,2.45,3.29,3.94,5.04,20-Apr
113,20-May,2.45,3.29,4.05,5.04,20-May
114,20-Jun,2.45,3.19,3.89,4.94,20-Jun
115,20-Jul,2.45,3.19,3.89,4.94,20-Jul
116,20-Aug,2.45,3.09,3.89,4.94,20-Aug
117,20-Sep,2.45,3.09,3.59,4.79,20-Sep
118,20-Oct,2.45,3.09,3.59,4.79,20-Oct
119,20-Nov,2.45,3.09,3.59,4.79,20-Nov
120,20-Dec,2.45,3.09,3.59,4.79,20-Dec
121,21-Jan,2.45,3.09,3.49,4.79,21-Jan
122,21-Feb,2.45,2.79,3.49,4.79,21-Feb
123,21-Mar,2.45,2.79,3.49,4.79,21-Mar
124,21-Apr,2.45,2.79,3.49,4.79,21-Apr
125,21-May,2.45,2.79,3.49,4.79,21-May
126,21-Jun,2.45,2.79,3.49,4.79,21-Jun
127,21-Jul,2.45,2.79,3.49,4.79,21-Jul
128,21-Aug,2.45,2.79,3.49,4.79,21-Aug
129,21-Sep,2.45,2.79,3.49,4.79,21-Sep
130,21-Oct,2.45,2.79,3.49,4.79,21-Oct
131,21-Nov,2.45,2.79,3.49,4.79,21-Nov
132,21-Dec,2.45,2.79,3.49,4.79,21-Dec
