,ID,Date,Number of Sales,New Listings,Active Listings,Avg. SP/LP,Avg. DOM,land_value,Ave_RBCPI,Prime_rate,mortgare_1y,mortgare_3y,mortgare_5y,Monthly Employment,wage_value,Avg. Price Level
0,1,2011-01,4337,9008,12152,98,36,87.7,87.2,3.0,3.35,4.15,5.19,109775.0,5517.1,427037
1,2,2011-02,6266,11538,14365,99,27,87.7,87.2,3.0,3.35,4.15,5.19,109775.0,5540.8,454423
2,3,2011-03,9262,15315,16616,99,23,87.7,87.2,3.0,3.5,4.35,5.44,109775.0,5543.4,456147
3,4,2011-04,9041,14494,17466,99,22,87.7,88.5,3.0,3.7,4.55,5.69,109775.0,5596.2,477407
4,5,2011-05,10046,16076,18481,99,23,88.2,88.5,3.0,3.7,4.55,5.69,109775.0,5704.3,485520
5,6,2011-06,10230,14837,18171,99,24,88.4,88.5,3.0,3.6,4.45,5.49,109775.0,5787.2,476371
6,7,2011-07,3072,5075,6928,99,24,88.6,89.1,3.0,3.6,4.45,5.54,109775.0,5721.8,475717
7,8,2011-08,2898,4831,6611,99,26,88.9,89.1,3.0,3.5,4.35,5.39,109775.0,5728.4,464863
8,9,2011-09,3114,6185,7392,100,26,89.2,89.1,3.0,3.5,4.35,5.39,109775.0,5616.2,495686
9,10,2011-10,3124,5211,7109,99,23,89.4,89.3,3.0,3.5,4.35,5.19,109775.0,5600.5,522606
10,11,2011-11,3028,4229,6281,99,27,90.1,89.3,3.0,3.5,4.05,5.29,109775.0,5651.9,524686
11,12,2011-12,1948,2019,5253,99,30,90.4,89.3,3.0,3.5,4.05,5.29,109775.0,5602.9,474270
12,13,2012-01,1705,4041,5134,99,31,90.6,89.7,3.0,3.5,4.05,5.29,110964.1667,5502.7,499045
13,14,2012-02,2686,5165,6090,101,22,90.6,89.7,3.0,3.5,3.95,5.14,110964.1667,5526.0,553519
14,15,2012-03,3682,6375,6896,101,21,90.9,89.7,3.0,3.2,3.95,5.24,110964.1667,5539.3,548354
15,16,2012-04,3925,6383,7321,101,21,90.9,90.3,3.0,3.2,3.95,5.44,110964.1667,5611.4,568436
16,17,2012-05,4130,7956,8376,100,20,91.3,90.3,3.0,3.2,3.95,5.44,110964.1667,5660.8,568768
17,18,2012-06,3520,6742,8537,99,21,91.6,90.3,3.0,3.2,3.95,5.24,110964.1667,5709.5,554077
18,19,2012-07,2721,5537,8385,98,26,91.6,90.3,3.0,3.2,3.95,5.24,110964.1667,5709.2,500934
19,20,2012-08,2282,4273,7492,98,29,91.9,90.3,3.0,3.1,3.95,5.24,110964.1667,5716.6,497769
20,21,2012-09,2255,6342,8740,99,28,92.1,90.3,3.0,3.1,4.05,5.24,110964.1667,5632.1,547901
21,22,2012-10,2730,5568,8492,98,26,92.1,90.6,3.0,3.1,3.85,5.24,110964.1667,5644.8,539188
22,23,2012-11,2308,4056,7456,98,29,92.1,90.6,3.0,3.1,3.7,5.24,110964.1667,5673.3,517866
23,24,2012-12,1470,1679,5291,97,37,92.3,90.6,3.0,3.1,3.7,5.24,110964.1667,5714.2,494127
24,25,2013-01,1559,4207,5736,98,37,92.3,90.5,3.0,3.0,3.7,5.24,113654.1667,5605.1,507859
25,26,2013-02,2189,4326,6335,99,27,92.4,90.5,3.0,3.0,3.65,5.24,113654.1667,5641.8,552014
26,27,2013-03,2891,5513,7119,99,24,92.5,90.5,3.0,3.0,3.65,5.24,113654.1667,5584.4,564793
27,28,2013-04,3591,7004,8086,100,23,92.5,90.8,3.0,3.0,3.55,5.14,113654.1667,5639.5,576315
28,29,2013-05,3840,7264,8716,100,22,92.5,90.8,3.0,3.0,3.55,5.14,113654.1667,5763.0,600791
29,30,2013-06,3265,5913,8572,99,23,92.5,90.8,3.0,3.0,3.55,5.14,113654.1667,5835.3,578575
30,31,2013-07,3062,5350,7849,98,27,92.6,90.8,3.0,3.14,3.75,5.14,113654.1667,5759.4,536181
31,32,2013-08,2665,4475,7097,98,29,92.6,90.8,3.0,3.14,3.75,5.14,113654.1667,5804.0,518145
32,33,2013-09,2789,5994,7897,99,27,92.6,90.8,3.0,3.14,3.95,5.34,113654.1667,5713.0,571410
33,34,2013-10,3190,5349,7286,99,25,92.6,90.8,3.0,3.14,3.95,5.34,113654.1667,5758.3,593807
34,35,2013-11,2528,3849,6380,99,28,92.6,90.8,3.0,3.14,3.95,5.34,113654.1667,5754.0,590366
35,36,2013-12,1574,1703,4582,98,33,92.6,90.8,3.0,3.14,3.95,5.34,113654.1667,5725.7,541771
36,37,2014-01,1551,3610,4871,99,36,92.6,91.2,3.0,3.14,3.95,5.34,115365.8333,5643.5,552395
37,38,2014-02,2136,4393,5797,101,26,92.8,91.2,3.0,3.14,3.75,5.24,115365.8333,5682.1,599414
38,39,2014-03,2978,5625,6656,101,22,92.8,91.2,3.0,3.14,3.75,4.99,115365.8333,5653.0,597401
39,40,2014-04,3544,6686,7674,101,20,92.8,91.9,3.0,3.14,3.75,4.99,115365.8333,5713.7,641666
40,41,2014-05,4069,7360,8310,101,20,92.8,91.9,3.0,3.14,3.75,4.79,115365.8333,5811.3,652681
41,42,2014-06,3795,6521,8267,101,21,92.8,91.9,3.0,3.14,3.75,4.79,115365.8333,5856.4,617854
42,43,2014-07,3315,5787,7796,100,24,92.8,92.1,3.0,3.14,3.75,4.79,115365.8333,5870.8,576552
43,44,2014-08,2760,4274,6904,99,28,92.8,92.1,3.0,3.14,3.75,4.79,115365.8333,5854.9,564359
44,45,2014-09,3063,6609,7804,100,25,92.8,92.1,3.0,3.14,3.75,4.79,115365.8333,5791.6,624851
45,46,2014-10,3420,5699,7286,100,23,92.9,92.6,3.0,3.14,3.75,4.79,115365.8333,5821.5,633078
46,47,2014-11,2661,3823,6296,99,26,92.9,92.6,3.0,3.14,3.44,4.79,115365.8333,5797.5,616130
47,48,2014-12,1762,1899,4431,99,31,93.0,92.6,3.0,3.14,3.44,4.79,115365.8333,5763.3,574539
48,49,2015-01,1561,3912,5056,100,32,93.3,93.3,3.0,3.14,3.44,4.79,118523.3333,5653.1,581477
49,50,2015-02,2370,4211,5506,101,24,93.3,93.3,2.85,3.14,3.8,4.79,118523.3333,5679.8,630858
50,51,2015-03,3196,6122,6593,101,22,93.3,93.3,2.85,2.89,3.39,4.74,118523.3333,5670.3,655067
51,52,2015-04,4071,7175,7466,102,19,93.3,93.7,2.85,2.89,3.39,4.74,118523.3333,5722.4,690261
52,53,2015-05,4189,7280,8046,102,19,94.9,93.7,2.85,2.89,3.39,4.64,118523.3333,5875.0,718350
53,54,2015-06,4406,7169,7955,101,20,95.3,93.7,2.85,2.89,3.39,4.64,118523.3333,5944.1,682264
