Date,Ave_RBCPI
Jan-11,87.2
Feb-11,87.2
Mar-11,87.2
Apr-11,88.5
May-11,88.5
Jun-11,88.5
Jul-11,89.1
Aug-11,89.1
Sep-11,89.1
Oct-11,89.3
Nov-11,89.3
Dec-11,89.3
Jan-12,89.7
Feb-12,89.7
Mar-12,89.7
Apr-12,90.3
May-12,90.3
Jun-12,90.3
Jul-12,90.3
Aug-12,90.3
Sep-12,90.3
Oct-12,90.6
Nov-12,90.6
Dec-12,90.6
Jan-13,90.5
Feb-13,90.5
Mar-13,90.5
Apr-13,90.8
May-13,90.8
Jun-13,90.8
Jul-13,90.8
Aug-13,90.8
Sep-13,90.8
Oct-13,90.8
Nov-13,90.8
Dec-13,90.8
Jan-14,91.2
Feb-14,91.2
Mar-14,91.2
Apr-14,91.9
May-14,91.9
Jun-14,91.9
Jul-14,92.1
Aug-14,92.1
Sep-14,92.1
Oct-14,92.6
Nov-14,92.6
Dec-14,92.6
Jan-15,93.3
Feb-15,93.3
Mar-15,93.3
Apr-15,93.7
May-15,93.7
Jun-15,93.7
Jul-15,94.1
Aug-15,94.1
Sep-15,94.1
Oct-15,94.3
Nov-15,94.3
Dec-15,94.3
Jan-16,94.8
Feb-16,94.8
Mar-16,94.8
Apr-16,96
May-16,96
Jun-16,96
Jul-16,96.2
Aug-16,96.2
Sep-16,96.2
Oct-16,96.8
Nov-16,96.8
Dec-16,96.8
Jan-17,97
Feb-17,97
Mar-17,97
Apr-17,98.5
May-17,98.5
Jun-17,98.5
Jul-17,101.6
Aug-17,101.6
Sep-17,101.6
Oct-17,102.9
Nov-17,102.9
Dec-17,102.9
Jan-18,104.8
Feb-18,104.8
Mar-18,104.8
Apr-18,108
May-18,108
Jun-18,108
Jul-18,108.8
Aug-18,108.8
Sep-18,108.8
Oct-18,108.8
Nov-18,108.8
Dec-18,108.8
Jan-19,108.6
Feb-19,108.6
Mar-19,108.6
Apr-19,109.5
May-19,109.5
Jun-19,109.5
Jul-19,110.2
Aug-19,110.2
Sep-19,110.2
Oct-19,110.5
Nov-19,110.5
Dec-19,110.5
Jan-20,110.8
Feb-20,110.8
Mar-20,110.8
Apr-20,111.5
May-20,111.5
Jun-20,111.5
Jul-20,114.6
Aug-20,114.6
Sep-20,114.6
Oct-20,118.5
Nov-20,118.5
Dec-20,118.5
Jan-21,125.9
Feb-21,125.9
Mar-21,125.9
Apr-21,136.4
May-21,136.4
Jun-21,136.4
Jul-21,142.6
Aug-21,142.6
Sep-21,142.6
Oct-21,149
Nov-21,149
Dec-21,149
