Date,Total_emp
11-Jan,"1,317,300"
11-Feb,"1,317,300"
11-Mar,"1,317,300"
11-Apr,"1,317,300"
11-May,"1,317,300"
11-Jun,"1,317,300"
11-Jul,"1,317,300"
11-Aug,"1,317,300"
11-Sep,"1,317,300"
11-Oct,"1,317,300"
11-Nov,"1,317,300"
11-Dec,"1,317,300"
12-Jan,"1,331,570"
12-Feb,"1,331,570"
12-Mar,"1,331,570"
12-Apr,"1,331,570"
12-May,"1,331,570"
12-Jun,"1,331,570"
12-Jul,"1,331,570"
12-Aug,"1,331,570"
12-Sep,"1,331,570"
12-Oct,"1,331,570"
12-Nov,"1,331,570"
12-Dec,"1,331,570"
13-Jan,"1,363,850"
13-Feb,"1,363,850"
13-Mar,"1,363,850"
13-Apr,"1,363,850"
13-May,"1,363,850"
13-Jun,"1,363,850"
13-Jul,"1,363,850"
13-Aug,"1,363,850"
13-Sep,"1,363,850"
13-Oct,"1,363,850"
13-Nov,"1,363,850"
13-Dec,"1,363,850"
14-Jan,"1,384,390"
14-Feb,"1,384,390"
14-Mar,"1,384,390"
14-Apr,"1,384,390"
14-May,"1,384,390"
14-Jun,"1,384,390"
14-Jul,"1,384,390"
14-Aug,"1,384,390"
14-Sep,"1,384,390"
14-Oct,"1,384,390"
14-Nov,"1,384,390"
14-Dec,"1,384,390"
15-Jan,"1,422,280"
15-Feb,"1,422,280"
15-Mar,"1,422,280"
15-Apr,"1,422,280"
15-May,"1,422,280"
15-Jun,"1,422,280"
15-Jul,"1,422,280"
15-Aug,"1,422,280"
15-Sep,"1,422,280"
15-Oct,"1,422,280"
15-Nov,"1,422,280"
15-Dec,"1,422,280"
16-Jan,"1,461,020"
16-Feb,"1,461,020"
16-Mar,"1,461,020"
16-Apr,"1,461,020"
16-May,"1,461,020"
16-Jun,"1,461,020"
16-Jul,"1,461,020"
16-Aug,"1,461,020"
16-Sep,"1,461,020"
16-Oct,"1,461,020"
16-Nov,"1,461,020"
16-Dec,"1,461,020"
17-Jan,"1,496,250"
17-Feb,"1,496,250"
17-Mar,"1,496,250"
17-Apr,"1,496,250"
17-May,"1,496,250"
17-Jun,"1,496,250"
17-Jul,"1,496,250"
17-Aug,"1,496,250"
17-Sep,"1,496,250"
17-Oct,"1,496,250"
17-Nov,"1,496,250"
17-Dec,"1,496,250"
18-Jan,"1,522,880"
18-Feb,"1,522,880"
18-Mar,"1,522,880"
18-Apr,"1,522,880"
18-May,"1,522,880"
18-Jun,"1,522,880"
18-Jul,"1,522,880"
18-Aug,"1,522,880"
18-Sep,"1,522,880"
18-Oct,"1,522,880"
18-Nov,"1,522,880"
18-Dec,"1,522,880"
19-Jan,"1,569,800"
19-Feb,"1,569,800"
19-Mar,"1,569,800"
19-Apr,"1,569,800"
19-May,"1,569,800"
19-Jun,"1,569,800"
19-Jul,"1,569,800"
19-Aug,"1,569,800"
19-Sep,"1,569,800"
19-Oct,"1,569,800"
19-Nov,"1,569,800"
19-Dec,"1,569,800"
20-Jan,"1,449,910"
20-Feb,"1,449,910"
20-Mar,"1,449,910"
20-Apr,"1,449,910"
20-May,"1,449,910"
20-Jun,"1,449,910"
20-Jul,"1,449,910"
20-Aug,"1,449,910"
20-Sep,"1,449,910"
20-Oct,"1,449,910"
20-Nov,"1,449,910"
20-Dec,"1,449,910"
21-Jan,
21-Feb,
21-Mar,
21-Apr,
21-May,
21-Jun,
21-Jul,
21-Aug,
21-Sep,
21-Oct,
21-Nov,
21-Dec,
