ID,Date,Number of Sales,Dollar Volume,Avg. Price Level,Median Price,New Listings,SNLR (Trend),Active Listings,Mos. Inv. (Trend),Avg. SP/LP,Avg. DOM
1,11-Jan,"4,337","1,852,057,481","$427,037","$360,000","9,008",,"12,152",,98%,36
2,11-Feb,"6,266","2,847,415,540","$454,423","$379,000","11,538",,"14,365",,99%,27
3,11-Mar,"9,262","4,224,832,331","$456,147","$385,000","15,315",,"16,616",,99%,23
4,11-Apr,"9,041","4,316,236,999","$477,407","$402,000","14,494",,"17,466",,99%,22
5,11-May,"10,046","4,877,529,408","$485,520","$400,000","16,076",,"18,481",,99%,23
6,11-Jun,"10,230","4,873,270,464","$476,371","$405,000","14,837",,"18,171",,99%,24
7,11-Jul,"3,072","$1,461,402,170","$475,717","$392,650","5,075",,"6,928",,99%,24
8,11-Aug,"2,898","$1,347,172,255","$464,863","$387,000","4,831",,"6,611",,99%,26
9,11-Sep,"3,114","$1,543,566,564","$495,686","$399,450","6,185",,"7,392",,100%,26
10,11-Oct,"3,124","$1,632,621,956","$522,606","$410,000","5,211",,"7,109",,99%,23
11,11-Nov,"3,028","$1,588,749,233","$524,686","$412,000","4,229",60.00%,"6,281",2.2,99%,27
12,11-Dec,"1,948","$923,877,841","$474,270","$385,000","2,019",60.00%,"5,253",2.2,99%,30
13,12-Jan,"1,705","$850,871,140","$499,045","$396,000","4,041",59.60%,"5,134",2.2,99%,31
14,12-Feb,"2,686","$1,486,751,884","$553,519","$424,944","5,165",59.20%,"6,090",2.2,101%,22
15,12-Mar,"3,682","$2,019,039,303","$548,354","$428,000","6,375",58.90%,"6,896",2.2,101%,21
16,12-Apr,"3,925","$2,231,109,660","$568,436","$445,000","6,383",58.90%,"7,321",2.2,101%,21
17,12-May,"4,130","$2,349,011,252","$568,768","$446,000","7,956",58.00%,"8,376",2.2,100%,20
18,12-Jun,"3,520","$1,950,350,664","$554,077","$434,405","6,742",56.40%,"8,537",2.3,99%,21
19,12-Jul,"2,721","$1,363,040,705","$500,934","$410,000","5,537",55.50%,"8,385",2.3,98%,26
20,12-Aug,"2,282","$1,135,909,249","$497,769","$399,050","4,273",55.00%,"7,492",2.4,98%,29
21,12-Sep,"2,255","$1,235,516,776","$547,901","$430,000","6,342",53.50%,"8,740",2.5,99%,28
22,12-Oct,"2,730","$1,471,984,594","$539,188","$437,639","5,568",52.60%,"8,492",2.6,98%,26
23,12-Nov,"2,308","$1,195,235,446","$517,866","$425,000","4,056",51.40%,"7,456",2.7,98%,29
24,12-Dec,"1,470","$726,367,202","$494,127","$404,250","1,679",51.00%,"5,291",2.7,97%,37
25,13-Jan,"1,559","$791,751,646","$507,859","$413,500","4,207",50.60%,"5,736",2.7,98%,37
26,13-Feb,"2,189","$1,208,359,467","$552,014","$434,000","4,326",50.50%,"6,335",2.8,99%,27
